study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Mahmoudi, H, 2020",GMS Hygiene and Infection Control,02/17/2020,10/20/2020,Iran,LMIC,Middle East,Eastern Mediterranean,Cross-sectional study,Hospital,340,,,not applicable,,not clear,Yes,No,,,,,,,,,,,,Culture,"endotracheal aspirate culture, blood culture",No,"resp, blood",multiple,340,,43,,,,,Yes,Yes,Yes,21,9,13,43,21,9,13,43,17,4 MRSA,26,2 MRSA,,,,,,,,"4 ESBL Kleb, 2 CRE Kleb, 4 ESBL E Coli, 1 CRE E Coli, 2 ESBL Enterobacter, 2 ESBL Pseudomonas",,,,15,7,8,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,2,2,,,,11,4,7,,,,6,4,2,,,8,2,6,,,,5,4,1,,,,,,,,,,,,,5,2,3,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,moderate,6,No,-,-,-,,,,,,,,,,Secondary,Y,,Y,Y
"Martin A, 2021",,03/01/2020,05/31/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,198,,69,Median,103,All combined,Yes,No,78,70,104,,0,56,81,,,11,"Immunocompromised patients were defined as those with previous solid organ transplant, active cancer receiving chemotherapy, patients on biologic therapy, and uncontrolled HIV",Culture + Urine Ag,Microbiologically confirmed infection was defined as a positive result from urinary antigens or respiratory and blood cultures not suggestive of contamination or colonization.,Yes,"resp, blood, urine",multiple,198,,24,,,,,Yes,No,No,,,,,,,27,27,12,,15,,,,,,,,,,,,,5,,5,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,172,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,low,9,Yes,No,Patients with microbiologically confirmed infections were more likely to have a longer length of stay.,,,,,,,,,,,Secondary,Y,,N,N
"Martinez-Guerra BA, 2021",Antibiotics,03/20/2020,06/10/2020,Mexico,LMIC,North America,North America,Propsective Cohort,Hospital,794,,52,Median,305,Severe,Yes,No,,188,205,117,,19,216,,,45,,Culture,"MALDI-TOF, agar, Vitek (page 2-3)",Yes,"resp, blood, urine",multiple,794,0,54,,,,,Yes,Yes,Yes,,,,,49,,55,104,35,7,69,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,13,3,10,,,,1,,,,,9,,9,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,36,7,29,,,,,,,,14,14,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,73,,731,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,Death occurred in 30/74 (40.5%) patients with one or more HAI episodes and in 193/584 (33.0%) patients without any HAI episode (p < 0.05).,"Length of stay was significantly higher in patients who developed a hospital-acquired infection [median length of 27 days (IQR 18â€“36) vs 6 days (IQR 4â€“6), p < 0.01].",No,,,,,,,,,,Both,Y,,Y,Y
"May M, 2021",Antimicrobial Agents Chemother,03/10/2020,06/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital/Outpatient,2443,,65.2,Mean/Average,1048,All combined,Yes,No,,,,,147,,,,,,,Culture,"positive microbiological results in blood, urine, or respiratory culture within 72 h of presentation",Yes,"resp, blood, urine, other",multiple,2443,161,,,,,,Yes,No,No,,,161,161,,,172,172,47,,24,,88,,,,13,,,,,,,6,6,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,,6,,6,,,,,,,,,14,5,,9,,,,,,,,60,8,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,22,49,,"10=Streptococcus (blood), 12=Staphylococcus (in resp), 49=unknown",,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Meawed T, 2021",J Infect Public Health,10/01/2020,04/01/2021,Egypt,LMIC,Africa,Eastern Mediterranean,Cross-sectional study,Hospital ICU,197,ICU mechanically ventilated; all specimens were pos for bacterial organisms (but I don't think this was part of methods),65,Mean,79,Critical,Yes,No,,197,197,,,34,111,,,,,Culture,"Sputum and endotracheal aspirate (ETA) specimens were col-lected in appropriate containers according to the standard protocol,in a 3â€“4 days interval schedule",Yes,resp,resp,197,,197,,,197,,Yes,Yes,Yes,197,0,0,197,197,0,0,197,,,197,"197 total=pan-drug resistant Kleb pneumo=81, MDR Acinetobacter baumanii=54, ESBL Pseudo=41, ESBL E Coli=3, MRSA=18",,,,,,,,,,,,18,,18,,,,18,18,0,,,,,,,,,,,,,,,,,,,,,,41,,41,,,,41,41,,,,81,,81,,,,81,,,81,,3,,3,,,,3,3,,,,54,,54,,,,54,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,178,197,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,9,No,Mortality was 100% (all patients had bacterial infection),,,,,,,,,,,,Secondary,Y,Y,Y,Y
"Milas S, 2021",Acta Clin Belg,03/11/2020,05/03/2020,Belgium,HIC,Europe,Europe,Retrospective Cohort,Hospital,164,,60.5,Median,83,All combined,Yes,No,,18,25,,27,42,37,,9,13,Immunosuppressive therapy or HIV,Culture + Urine Ag + NAAT,"Microbiological samples were cultured according to the standard quantitative culture method (NCCLS), and speciation of the isolates was performed by MALDI-TOF MS",Yes,resp,resp,164,19,9,,,,,Yes,No,No,,,28,28,,,29,29,,,,,,,,,,,29,,,,,2,,,,,2,,,,,,,,,,,,1,,,,,1,,,,,,,,3,,,,,3,,,,,,3,,,,,3,,,,,,15,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,Bacteroides=1,0,0,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,,,,,,,,,,,,,Both,Y,,N,N
"Ming  DK, 2021",BMC Infect Dis,03/01/2020,05/06/2020,United Kingdom,HIC,Europe,Europe,Retrospective Cohort,Hospital,237,,67,Median,93,All combined,Yes,No,,,59,,,,,,,,,Culture,"Microbiology results from blood, urine and respiratory tract, which grew organisms deemed pathogenic and signifcant by the clinical and microbiology team were included, excluding potential contaminants such as Coagulase negative Staphylococcus",No,"resp, blood, urine",multiple,237,,,58,,,,Yes,No,No,,,58,58,,,59,59,14,,24,,21,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,7,2,,,,,,,,13,3,7,3,,,,,,,,16,,3,13,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,10,,10=others,,,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,moderate,7,Yes,"No sig diff in rates of positive cultures between patients who survived or died (32.1 vs 34.9% respectively, p=0.7)",No,No,,,,,,,,,,Unspecified,Y,,N,N
"Moolla MS, 2021",South African Med J,03/26/2020,08/31/2020,South Africa,LMIC,Africa,Africa,Propsective Cohort,Hospital ICU,363,Hospital ICU,53.4,Mean,not reported,Critical,Yes,No,,,363,,,10,182,,,,,Culture,"All cultures were submitted to the on-site National Health Laboratory Service microbiology laboratory and processed using standard procedures entailing inoculation of basic agar plates, followed by overnight incubation and follow-up of relevant isolates for urine and respiratory samples.",Yes,"resp, blood, urine",multiple,363,20,73,,,,,Yes,No,No,,,,,,,254,254,185,,50,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11,,9,,,,1,,1,,,,9,7,2,,,,,,,,,22,12,8,2,,,,,,,,5,,,5,,,,,,,,82,45,35,2,,,,,,,8,7,1,,,,,,,,63,63,,,,,,,,,,,,,,,,6,5,1,,,,,6,5,1,,,,,,,,3,2,,1,,,,,,,,,,29,,"Chryseobacterium indologenes=2, Morganella morganii=2, Bacillus species=19, Corynebacterium species=3, Staphylococcus hominis=1, Staphylococcus saccharolyticus=1, Clostridium perfringens=1, Micrococcus species=1, Bacteroides caccae=1",,,258,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,low,9,Yes,"Positive blood culture for pathogens showed a trend towards increased odds of mortality (OR 7.71; 95% CI 0.963 - 100.172; p=0.08), A positive pathogen culture on urine was not associated with mortality (p=1),, A positive pathogen culture on tracheal aspirate was associated with increased odds of mortality (OR 34.1; 95% CI 2.013 - 818.06; p<0.05).","Positive blood culture for pathogens was associated with longer ICU stay (mean (SD) 15.8 (3.2) days compared with 9.5 (0.7) days for patients without a positive culture; p=0.0002). A positive pathogen culture on urine was associated with longer ICU stay (mean (SD) 17.9 (6.4) days v. 10.3 (0.8) days; p=0.02) when compared with patients with a negative urine culture. A positive pathogen culture on tracheal aspirate was associated with a longer ICU stay (mean (SD) 16.3 (4.4) days, compared with 9.9 (0.8) days for patients with no growth; p=0.006).",Yes,,,,,,,7.71,0.963,100.172,Both,Y,,N,N
"Nasir N, 2021",J Med Virol,02/01/2020,06/30/2020,Pakistan,LMIC,Asia,Eastern Mediterranean,Case Control,Hospital,100,Case control study where 50 patients with COVID with bacterial infection were matched with 50 COVID patients without bacterial infection,60,Median,26,Moderate to Severe/Critical,Yes,No,,35,37,,3,28,56,,,,,Culture,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",No,"resp, blood, urine, skin/soft tissue",multiple,100,,,,,,,Yes,Yes,Yes,,,,,34,5,41,80,8,8,36,26,6,,1,,,,29,,,,,10,3,7,,,,5,5,,,,,,,,,,2,2,,,,,2,,,,,,,21,,3,,,18,8,,,,,8,1,3,,,4,4,,,,,4,2,2,,,,4,4,,,,22,10,,,,12,16,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,18,50,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,8,Yes,Patients with COVIDâ€19 having bacterial coinfections or secondary infections had a comparatively greater proportion of deaths compared to controls (42% vs. 18%) OR = 3.29; 95% CI: 1.32â€“8.23 (p = 0.011).,The median length of stay was also significantly longer among cases compared to controls (12.5 vs. 7.5 days (p = 0.001).,Yes,,,,,,,3.29,1.32,8.23,Both,N,,Y,Y
"Nassar Y, 2021",J Infect Public Health,04/28/2020,07/29/2020,Egypt,LMIC,Africa,Eastern Mediterranean,Retrospective Cohort,Hospital ICU,160,Hospital ICU,60,Mean/Average,52,Critical,Yes,No,,44,160,17,,33,73,,5,8,8=immunosuppression,Culture,"Deep respiratory samples (tracheal aspirates or bronchoalveolar lavage fluid) were obtained from patients with suspectedsecondary respiratory infections, in addition to blood samplesto perform BioFireÂ®FilmArrayÂ®Panels (BioFire Diagnostics, SaltLake City, Utah 84108 USA) for respiratory pathogens. Cultures oftracheal aspirates were not done in these patients due tothe unde-termined biohazard risk",No,resp,resp,160,,,31,,,,Yes,No,No,,,31,31,,,31,31,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,12,,12,,,,,,,,,,,,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,107,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,moderate,7,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Nebreda-Mayoral T, 2021",Enferm Infecc Microbiol Clin,03/01/2020,05/31/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital,712,With coinfections?,73,Median,292,All combined,Yes,No,,50,50,,12,31,27,,,23,,Culture,"Confirmation of COVID-19 was performed by detection of SARS-CoV-2 virus RNA by real-time reverse transcription polymerase chain reaction (RT-PCR) test in respiratory samples or by detection of IgG and IgG antibodies. IgM in patients with clinical criteria for COVID-1918. The diagnosis of bacterial or fungal infection was made following standard laboratory procedures19. The microorganisms were identified by MALDI-TOFÂ® mass spectrometry (Bruker DaltonikÂ®, Bremen, Germany). The diagnosis of infection was based on the clinical symptoms, the isolation of an etiological agent and the assessment of the group of clinicians responsible for the patient. Bacteremia / fungemia was defined as the isolation of a pathogen in one or more blood cultures and for microorganisms of the skin flora, its growth was assessed in two or more blood cultures extracted by different routes. For catheter-associated bacteremia (CAB), the isolation of the same microorganism in blood and at the catheter tip (count â‰¥ 103 CFU) from samples obtained in parallel or in two blood cultures taken simultaneously from the catheter and by venipuncture was assessed. Respiratory infection (IR) was considered the significant isolation of a potentially pathogenic microorganism in a bronchoalveolar lavage (BAL), in a bronchial aspirate (BAS) or in a titratable sputum (> 25 PMN and <10 epithelial cells Ã— 100) or the detection in urine of the antigen of Streptococcus pneumoniae by immunochromatography using BinaxNOWÂ® (Abbot Diagnostics ScarbourgÂ®, Maine, USA). For the diagnosis of invasive pulmonary aspergillosis, the algorithm of Armstrong-James et al.21 was followed. Urinary tract infection (UTI) was defined as the significant isolation19 of a micro-organism in the urine sample of a patient with signs and / or symptoms of infection. The diagnosis of skin and soft tissue infection (IPPB) was based on the Gram stain (PMN and presence of bacteria or fungi) and the agreement with the result of the culture. The infections were classified as co-infections or superin- fections. Coinfection was defined as community-acquired infection diagnosed in the first 48 h after hospital admission by COVID-19. Infection acquired 48 hours after hospital admission was considered superinfection.",Yes,"resp, blood, urine, skin",multiple,712,39,80,,,,,Yes,Yes,Yes,,,,,41,,166,207,50,,65,,72,,11,,,,9,"9 ESBL (unspecified), 6 OXA-48+ESBL, 24 MDR, 2 MRSA",,,,18,3,11,2,,2,,2,,6,,6,,,,,,48,10,,34,4,,,2,,2,,,,17,1,10,5,,,,,,,,16,4,4,6,,,,,,,,21,2,2,15,1,,,,,,,25,7,13,2,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,Mixed=16 + other GNB=22,,,,Yes,Yes,No or unclear,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,moderate,5,Yes,"Bacteremia and Coinfection with A. baumanii are factors associated with increased mortality in COVID-19 patients (Bacteremia OR 2.986 95%CI 0.968-9.206, p=0.057, Coinfection with A baumanii 9.329 95%CI 2.289-38.020, p=0.002)",No,Yes,,,,,,,2.986,0.968,9.206,Both,Y,,Y,Y
"Nori P, 2021",Infection Control & Hospital Epidemiology,03/01/2020,04/18/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,4267,PCR positive SARS-COV2 patients with respiratory or bloodstream coinfections,,,,All combined,Yes,No,,,,,,,,,,,,Culture,All adult and pediatric patients with a positive SARS-CoV-2 PCR result and positive blood or respiratory culture (by matrix-assisted laser desorption/ionization) were analyzed.,Yes,"resp, blood",multiple,4267,152,,,,,,Yes,Yes,Yes,21,,131,152,67,50,139,256,147,"26 MRSA, 2 CRE Enterobacter, 2 CRE (unspecified), 3 other multidrug resistant isolates",109,"17 MRSA, 5 CRE Enterobacter, 1 CRE (unspecified), 11 other MDR",,,,,,,,,,,,93,46,47,,,,43,43,,,,,,,,,,12,11,1,,,,,,,,,,,27,9,18,,,,2,,,,2,16,5,11,,,,6,,,,6,15,11,4,,,,3,,,,3,2,1,1,,,,2,,,2,13,4,9,,,10,,5,,5,18,18,,,,,,,,,,,,,,,,2,,2,,,,0,,,,,,,,,,,4,1,3,,,,,,,,,6,,33,,Burkholderia cepacia=6,44,,149,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,6,No,-,-,-,,,,,,,,,,Co-infection,Y,,Y,Y
"Nseir S, 2021",Crit Care,,05/31/2020,"France, Ireland, Spain, Portugal, Denmark, Greece",HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,568,ICU and mechanically ventilated >48 hours,64.3,Weighted average of medians of alive vs dead,161,Critical,Yes,No,386,568,568,29,37,103,168,,,52,52=immunosuppression,Culture,"all episodes of infection needed microbiological confrmation, with the isolation in the endotracheal aspirate of at least 105 colony-forming units (CFU) per mL, or in bronchoalveolar lavage of at least 104 CFU per mL.",Yes,resp,resp,568,,205,,,,,Yes,Yes,No,35,,170,205,42,20,181,243,,,243,42,,,,,,,,,,,,26,,26,,,,6,6,,7,,7,,,,,,7,,7,,,,,3,,3,,,,51,,51,,,,,,,,,26,,26,,,,,,,,,19,,19,,,,,,,,,9,,9,,,,,,,,37,,37,,,,,,,,,,,,11,,11,,,,,,,,,,,4,,4,,,,,9,,9,,,,,,,1,5,,5,,,,,,,,,28,,,,"Morganella morganii=2, Gram negative other=26",202,,506,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,VAP was associated with higher risk for 28-day mortality in in SARS-CoV-2 group HR 1.65 (1.11 to 2.46) p=0.013 (adjusted).,HR 0.75 (0.58 to 0.96) p=0.020 (adjusted) for longer ICU LOS,"Yes (age, gender, simplifed acute physiology score II, Charlson score, MacCabe classifcation, shock, and acute respiratory distress syndrome as pre-specifed covariables in Coxâ€™s model)",,,,1.65,1.11,2.46,,,,Secondary,Y,,N,Y
"O'Kelly B, 2021",JAC Antimicrob Resist,03/09/2020,05/28/2020,Ireland,HIC,Europe,Europe,Retrospective Cohort,Hospital,292,,60,Median,138,All combined,Yes,No,,22,32,,29,41,45,,23,8,"6=solid organ transplant, 1=HIV, 1=bone marrow transplant",Culture,(Assume culture based on Supplementary Data),Yes,"resp, blood, urine, other",multiple,292,,,34,,,,Yes,Yes,No,4,5,25,34,4,5,24,33,12,,8,2,9,2,2,,2,,,,,,,7,3,2,,1,1,2,2,,,,,,,,,,2,2,,,,,,,,,,,,3,1,1,,1,,,,,,,2,,,2,,,,,,,,7,1,1,5,,,2,2,,,,,,,,,,,,,,1,,1,,,,,,,,4,4,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,2,,,,,,,,2,,,2,"1=Treponema pallidum, 1=B fragilis",,1,229,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,moderate,6,No,Those receiving abx for proven infection had increased mortality compared with those receiving abx empirically (25.7% vs 14.5%) ,"Those receiving abx for proven infection had increased LOS compared with those receiving abx empirically and those not receiving abx (median LOS 28 days vs. 11 days vs 6 days, p<0.001) ",No,,,,,,,,,,Unspecified,Y,,N,Y
"Obata R, 2020",Japanese Journal of Infectious Diseases,03/13/2020,05/15/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,226,,63.3,Mean/Average,97,All combined,Yes,No,,35,56,66,17,45,93,7,2,15,"n=13 HIV, n=2 transplant",Culture,"blood culture, resp culture, urine culture",No,"resp, blood, urine",multiple,226,,33,,,,,Yes,Yes,No,1,,32,33,1,4,23,28,6,,9,1 MRSA,9,,,,4,,,,,,,5,2,3,,,,1,1,,,,,,,,,,2,,,2,,,,,,,,,,1,,1,,,,,,,,,5,1,2,2,,,,,,,,7,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,57,23,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,-,-,-,,,,,,,,,,Secondary,Y,,N,Y
"Olivia A, 2020",Infection,03/01/2020,09/30/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,55,Hospital ICU,67,Median,11,Critical,Yes,No,,,55,,11,14,15,,4,,,Culture,"BAL GM was performed in 39 out of 55 patients (70.9%). As shown in Fig. 1, during the frst period of the study (Marchâ€“May 2020), BAL for GM was collected only on ICU admission in 22 out of 39 COVID-19 patients (56.4%",Yes,"resp, blood",multiple,55,,,40,,,,Yes,Yes,No,11,,29,40,11,,34,45,25,5,20,"2 MRSA, 4 CRE Kleb (1 KPC, 3 OXA-48)",,,,,,,,,,,,3,1,2,,,,3,3,0,,,,,,,,,2,2,,,,,,,,,,,,8,,8,,,,,,,,,8,4,4,,,,8,,8,,,,,,,,,,,,,,10,5,5,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,"1=""other"" (unknown), 3 = Enterobacterales - not CRE",13,,51,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,moderate,6,No,,,,,,,,,,,,,Unspecified,Y,,N,Y
"Ong C, 2021",Antimicrob Resist Infect Control,02/01/2020,06/30/2020,Singapore,HIC,Asia,Western Pacific,Propsective Cohort,Hospital ICU,71,Hospital ICU (only first ICU encounter enrolled),52,Median,12,Critical,Yes,No,,27,71,,,4,19,,1,2,2=immunosuppression,Culture,"microbiological cultures.  Device-associated infections, including CAUTI, CLABSI, PVAP and BSI, were standardized according to the criteria provided by the CDC-NHSN",Yes,"resp, blood, urine",multiple,71,,10,,,,,Yes,Yes,No,,,10,10,,,10,10,5,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,0,,,2,,,,,,,,0,,,2,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,moderate,6,No,,,,,,,,,,,,,Secondary,Y,,N,Y
